Serial No.,Acc. No.,Book Name,Author,Publication,Call No,ISBN,Price
447,714,Electronic Devices And Circuits,J.B.Gupta,S.K.Kataria And Sons,621.381 5 GUP-E,81-85749-75-2,350
448,731,Electronic Devices And Circuits,J B Gupta,S.K Kataria & Sons,621.310 42 GUP-E,81-85749-75-2,350
449,721,Electronics Lab Manual,Kuryachan T.D,Ayodhya Publications,621.381 078 KUR-E,,140
450,643,Electronics Lab Manual;4E,K.A.Navas,Rajath publishers,621.381 078  NAV-ELE.1;4E,,170
451,455,Elements Of Data Compression,Adam Drozdek,INDIA EDITION,005.746 DRO-E,978-81-315-1057-5,
452,735,Elements Of Discrete Mathematics 2E,C.L.Liu,Tata Mc Graw-Hill,0-07-043476-X;2E,511.102 85 LIU-E,180
453,1050,Elements of Programming Interviews,"Adnan Aziz, Tsung-Hsien Lee, Amit Prakash",,,,650
454,921,Engineering Chemistry,"Dr.M.M.Joseph,Dr.Nisha Mathew",,,,150
455,620,English Communication Made Easy,Aradhana Rana,Ane Books Pvt. Ltd.,658.45 RAN-E,978-93-8015-609-5,275
456,207,English Conversation Practice,Grant Taylor,TMH,825.06 TAY-E,978-0-07-099603-8,130
457,228,English Conversation Practice,Grant Taylor,TMH,825.06 TAY-E,978-0-07-099603-8,130
458,1013,Error Control Coding; 2E,"Shu Lin, Daniel J Costello",Pearson,,978 - 81 - 317 - 3440 - 7,711
459,1014,Error Control Coding; 2E,"Shu Lin, Daniel J Costello",Pearson,,978 - 81 - 317 - 3440 - 7,711
460,460,Error Correction Coding Mathematical Methods And Algorithms,Todd K. Moon,Wiley India Pvt Ltd,005.72 MOO-E,978-81-265-0760-3,
461,924,"Essentials of IBM Rational Functional Tester, Java Scripting RT 545 Part No. 800-27480-000",IBM,IBM,005.14 ESS,,
462,978,"Essentials of IBM Rational Functional Tester, Java Scripting RT 545 Part No. 800-27480-000",IBM,IBM,005.14 ESS,,
463,979,"Essentials of IBM Rational Functional Tester, Java Scripting RT 545 Part No. 800-27480-000",IBM,IBM,005.14 ESS,,
464,980,"Essentials of IBM Rational Functional Tester, Java Scripting RT 545 Part No. 800-27480-000",IBM,IBM,005.14 ESS,,
465,981,"Essentials of IBM Rational Functional Tester, Java Scripting RT 545 Part No. 800-27480-000",IBM,IBM,005.14 ESS,,
466,982,"Essentials of IBM Rational Functional Tester, Java Scripting RT 545 Part No. 800-27480-000",IBM,IBM,005.14 ESS,,
467,983,"Essentials of IBM Rational Functional Tester, Java Scripting RT 545 Part No. 800-27480-000",IBM,IBM,005.14 ESS,,
468,984,"Essentials of IBM Rational Functional Tester, Java Scripting RT 545 Part No. 800-27480-000",IBM,IBM,005.14 ESS,,
469,985,"Essentials of IBM Rational Functional Tester, Java Scripting RT 545 Part No. 800-27480-000",IBM,IBM,005.14 ESS,,
470,986,"Essentials of IBM Rational Functional Tester, Java Scripting RT 545 Part No. 800-27480-000",IBM,IBM,005.14 ESS,,
471,930,Essentials of IBM Rational Software Architecture Version 7.0 RD541 Part.No. 800-027291-000 Student Guide,IBM,IBM,005.1 ESS,,
472,935,Essentials of IBM Rational Software Architecture Version 7.0 RD541 Part.No. 800-027291-000 Student Guide,IBM,IBM,005.1 ESS,,
473,936,Essentials of IBM Rational Software Architecture Version 7.0 RD541 Part.No. 800-027291-000 Student Guide,IBM,IBM,005.1 ESS,,
474,937,Essentials of IBM Rational Software Architecture Version 7.0 RD541 Part.No. 800-027291-000 Student Guide,IBM,IBM,005.1 ESS,,
475,938,Essentials of IBM Rational Software Architecture Version 7.0 RD541 Part.No. 800-027291-000 Student Guide,IBM,IBM,005.1 ESS,,
476,939,Essentials of IBM Rational Software Architecture Version 7.0 RD541 Part.No. 800-027291-000 Student Guide,IBM,IBM,005.1 ESS,,
477,940,Essentials of IBM Rational Software Architecture Version 7.0 RD541 Part.No. 800-027291-000 Student Guide,IBM,IBM,005.1 ESS,,
478,941,Essentials of IBM Rational Software Architecture Version 7.0 RD541 Part.No. 800-027291-000 Student Guide,IBM,IBM,005.1 ESS,,
479,942,Essentials of IBM Rational Software Architecture Version 7.0 RD541 Part.No. 800-027291-000 Student Guide,IBM,IBM,005.1 ESS,,
480,943,Essentials of IBM Rational Software Architecture Version 7.0 RD541 Part.No. 800-027291-000 Student Guide,IBM,IBM,005.1 ESS,,
481,603,Essentials Of Software Engineering 2E,"Frank Tsui, Orlando Karam",Jones& Bartlett India Pvt. Ltd.,005.133 TSU - E;2E,978-93-80108-40-7,350
482,927,Essentials of Test Management with IBM Rational Quality Manager Version 2.0 RT271 Part No. 800-027605-000,IBM,IBM,005.14 ESS,,
483,969,Essentials of Test Management with IBM Rational Quality Manager Version 2.0 RT271 Part No. 800-027605-000,IBM,IBM,005.14 ESS,,
484,970,Essentials of Test Management with IBM Rational Quality Manager Version 2.0 RT271 Part No. 800-027605-000,IBM,IBM,005.14 ESS,,
485,971,Essentials of Test Management with IBM Rational Quality Manager Version 2.0 RT271 Part No. 800-027605-000,IBM,IBM,005.14 ESS,,
486,972,Essentials of Test Management with IBM Rational Quality Manager Version 2.0 RT271 Part No. 800-027605-000,IBM,IBM,005.14 ESS,,
487,973,Essentials of Test Management with IBM Rational Quality Manager Version 2.0 RT271 Part No. 800-027605-000,IBM,IBM,005.14 ESS,,
488,974,Essentials of Test Management with IBM Rational Quality Manager Version 2.0 RT271 Part No. 800-027605-000,IBM,IBM,005.14 ESS,,
489,975,Essentials of Test Management with IBM Rational Quality Manager Version 2.0 RT271 Part No. 800-027605-000,IBM,IBM,005.14 ESS,,
490,976,Essentials of Test Management with IBM Rational Quality Manager Version 2.0 RT271 Part No. 800-027605-000,IBM,IBM,005.14 ESS,,
491,977,Essentials of Test Management with IBM Rational Quality Manager Version 2.0 RT271 Part No. 800-027605-000,IBM,IBM,005.14 ESS,,
492,398,Expert C Programming Deep C Secrets,Peeter Van Der Linden,Pearson Education,005.133 VAN-E,978-81-317-1509-3,399
493,13,Expert Oracle 9I Database Adminstration,Sam R .Alapati,Wiley Dreamtech India Pvt Ltd,005.7575 ALA-E,81-7722-394-1,499
494,443,Expert Systems Principles And Programming 4E,Joseph C.Giarratano And Gary D. Riley,INDIA EDITION,006.336GIA-E;4E,978-81-315-0167-2,
495,62,Exploring C,Yashavant Kanetkar,Bpb Publications,005.133 KAN -E,81-7656-633-0,165
496,790,Faq'S In Java,Sachin B Patil,Scitech,005.133 PAT-F,978-81-8371-3276,270
497,569,Fire Up Your Communication Skills,Captain Bob,Viva Books Pvt,,978-81-309-0035-3,295
498,556,Formal Languages And Automata 4E,Pter Linz,Narosa pub. House,004.015 I - L;4E,978-81-7319-781-9,
499,821,Formal Languages And Automata Theory,"K V N Sunitha, N Kalyani",Mc Graw hill,004.015 1 SUN-F,978-0-07-070205-9,290
500,471,Foundations Of Software Testing,"Dorothy Graham ,Wrik Van Veenendaal",India Edition,005.1 GRA-F,978-81-315-0218-1,
501,293,Frontiers Of Electronic Commerce,Kalakota Whinston,Pearson Education,658.872  KAL-F,978-81-7758-392-2,499
502,681,Frontiers Of Electronic Commerce,Kalakota Whinston,Pearson Education,658.872  KAL-F,978-81-7758-392-2,499
503,111,Fronties Of Electronic Commerce,Kalakota Whinston,Pearson Education,658.872 KAL-F,978-81-7758-392-2,499
504,112,Fronties Of Electronic Commerce,Kalakota Whinston,Pearson Education,658.872 KAL-F,978-81-7758-392-2,499
505,413,Fundamental Of Information Technology,Mahtews Leon,LEON VIKAS,004 LEO-F,978-81-8209-221-1,300
506,55,Fundamental Of Software Engineering 2 E,Carlo Ghezzi,Pearson Education,005.1GHE-F,81-317-0985-X,215
507,953,Fundamentals of Computer Algorithms,"Ellis Horowitz, Sartaj Sahni,Sanguthevar Rajasekaran",Universities Press,005.10 HOR-F;2E,978-81-7371-612-6,
508,991,Fundamentals of Computer Algorithms 2E,"Ellis Horowitz , Sartaj Sahni",Universities Press,,978-81-7371-612-6,
509,1074,Fundamentals of Computer Algorithms 2E,"Ellis Horowitz, Sartaj Sahni,Sanguthevar Rajasekaran",Universities Press,,978-81-7371-612-6,475/-
510,583,Fundamentals Of Computer Graphics And Multimeia,D.P Mukherjee,PHI,006.6 MUK-F,978-81-203-1446-7,182
511,331,Fundamentals Of Computers And Programming In C,G S Baluja & G K Baluja,Dhanpat Rai & Co.,004 BAL-F,,220
512,71,Fundamentals Of Data Base System,"Elmasri,Navathe",Pearson Education,005.74  NAV-F,81-7758-476-6,
513,200,Fundamentals Of Data Base System 5E,"Elmasri,Navathe",Pearson Education,005.74  NAV-F;5E,978-81-317-1625-0,
514,76,Fundamentals Of Data Structures,"Ellis Horowitz,Sartaj Sahni",Galgotia Booksourse P.LTD,005.73HOR-F,,275
515,232,Fundamentals Of Data Structures In C++,Ellis Horowitz,GALGOTIA,005.73 HOR-F,81-7515-278-8,375
516,256,Fundamentals Of Data Structures In C++,Ellis Horowitz,Galgotia,005.73 HOR-F,81-7515-278-8,375
517,654,Fundamentals Of Database Systems,"Elmasri,Navathe",PEARSON PUBLICATIONS,005.74 ELM-FU,81-7758-476-6,350
518,768,Fundamentals Of Database Systems 2E,Elmasri / Navathe,Addision - Wesley,005.74 ELM-F;2E,0-201-35225-7,
519,767,Fundamentals Of Database Systems 4E,Ramez Elmasri,Pearson Education,005.74 ELM-F;4E,81-297-0228-2,
520,199,Fundamentals Of Database Systems 5E,Elmasri / Navathe,Pearson Education,005.74 ELM-F;5E,978-81-317-1625-0,
521,359,Fundamentals Of Datastructures In Pascal,Ellis Horowitz,Galgotia Publi Pvt Ltd,005.73  HOR-F,,125
522,357,Fundamentals Of Digital Circuits,A. Anand Kumar,Prentice hall of India,621.39 KUM-F,81-203-1745-9,295
523,677,Fundamentals Of Digital Circuits,A Anand Kumar,PHI,621.3815 KUM-F,81-203-1745-9,295
524,148,Fundamentals Of Digital Circuits,A.Anand Kumar,PHI,621.39 KUM-F,978-81-203-1745-1,325
525,149,Fundamentals Of Digital Circuits,A.Anand Kumar,PHI,621.3815 KUM-F,978-81-203-1745-1,325
526,46,Fundamentals Of Digital Circuits,A.Anand Kumar,PHI,621.381 5 KUM-F,978-81-203-1745-9,325
527,73,Fundamentals Of Digital Circuits,A.Anand Kumar,PHI,621.381 5 KUM-F,978-81-203-1745-9,325
528,695,Fundamentals Of Digital Circuits,A.Anand Kumar,PHI,621.381 5 KUM-F,978-81-203-1745-9,275
529,744,Fundamentals Of Digital Circuits 2E,A. Anand Kumar,PHI,621.39 KUM-F;2E,978-81-203-3679-7,200
530,424,Fundamentals Of Digital Image Processing,"S Annadurai , R Shanamugalakshmi",Pearson Education,006.6 SHA-F,978-81-775-8479-0,299
531,156,Fundamentals Of Logic Design 5E,Charles H.Roth,Cengage Learning,621.395 ROT-F;5E,978-81-315-0043-9,
532,805,Fundamentals Of Microprocessors & It'S Applications,"Anokh Singh, Er A K Chhabra",S Chand Publications,004.16 SIN-F,81-219-2474-X,150
533,507,Fundamentals Of Multimedia,Ze-Nian Li,PHI,006.7 NIA-F,978-81-203-2817-4,350
534,925,Fundamentals of Rational Rose Student's Manual Version 2002.05.00 Part# 800-025532-000,IBM,IBM,005.1 FUN,,
535,416,Fundamentals Of Satellite Communication,K.N Raja Rao,PHI,621.382 RAO- S,978-81-203-2401-5,225
536,169,Fundamentals Of Software Engineering,Rajib Mall,Phi,005.1 MAL.F,978-81-203-2445-9,195
537,433,Fundamentals Of Software Engineering 3E,Rajib Mall,Phi,005.1 MAL-F;3ED,978-81-203-3819-7,250
538,596,Fundamentals Of Softwareintegration,"Kay Hammer, Tina Timmerman",Jones& Bartlett India Pvt. Ltd.,005.106 84 HAM - F,978-93-80108-27-8,295
539,555,Fundamentals Of The Theory Of Computation Principles And Practice,"Raymond Greenlaw, H. James Hoover",MORGAN KAUFMANN PUB,004.016 I GRE - F,978-81-312-1640-6,325
540,464,Fundamentals Of Wimax Understanding Broadband Wireless Networking,Jeffrey G Andrews,PEARSON PUBLICATIONS,004.68 AND-F,978-81-317-2635-8,425
541,831,Gate 2013 Cs & It,,G K Publications,0043. 076 GAT,978-81-83556-06-4,695
542,221,General Knowledge Quiz,Leo,LEO BOOK PUBLISHERS,001 LEO-G,,50
543,608,Google Analytics,Justin Cutroni,Shoroff Pub & Distributors Pvt. Ltd,005.133 CUT -G,13: 978-93-5023-092-3,300
544,135,Graphics Under C,Yashvant Kanetkar,BPB,006.6 KAN-G,81-7029-993-4,240
545,542,Graphics Under C,Yashavant Kanetkar,Bpb Publication,0006.6 KAN - G,81-7029-993-4,297
546,551,Grid And Cluster Computing,C.S.R Prabhu,PHI,004.678 PRA-G,978-81-203-3428-1,240
547,615,Group Discussion,Anand Ganguly,PUSTAK MAHAL,658 GAN - G,10: 81-223-0777-9,108
548,227,Group Discussion,Karan Deo,R. GUPTA'S BOOKS,650.144 DEO-G,81-86877-85-1,70
549,510,Guide To Servers And Server+,Michael Graves,India Edition,004.36 GRA - G,978-81-315-0770-X,
550,1082,Hands -On Programming with MASAM Assembler     (for Intel 8086 Microprocessor),"Abubeker K.M, Rekhamole G",Xpress Publishing,,978-1684875030,230/-
551,339,Hardware And Software Of Personal Computers,Sanjay K Bose,New Age international Pub,004.16  BOS-H,81-224-0303-4,
552,404,High Performance Cluster Computing Volume 1,Rajkumar Buyya,Pearson Education,511.352 BUY-H,978-81-317-1693-9,625
553,550,High Performance Tcp/Ip Networking,"Mahbub Hassan, Raj Jain",PHI,004.62 HAS-H,978-81-203-2812-9,325
554,719,Higher Engineering Mathematics 36E,Dr.B.S.Grewal,Khanna Pub,518.1 GRE-H;36E,,265
555,568,How To Develop The Right Attitude,Dayanand Verma,PUSTAK MAHAL,,10:81-223-0901-1,80
556,139,"How To Do With E-Mail, Spam And Viruses",Jeff Duntemann,DREAMTECH,005.84 DUN-H,81-7722-529-4,179
557,588,How To Pass Diagramatic Reasoning Tests,Mike Bryon,Kogan Page India,,978-81-7554-473-4,195
558,623,How To Pass Numerical Reasoning Tests,Heidi Smith,Kogan Page India,,81-7554-331-0,175
559,226,How To Pass Verbal Reasoning Tests 2E,Harry Tolley,KOGAN PAGE,153.43 TOL-H;2E,81-7554-161-X,150
560,591,How To Solve Iq Puzziles,Philip Carter And Ken Russell,Viva Books Pvt,153 RUS -H,81-7649-951-X,125
561,42,"Html, Dhtml & Javascript",Asset International,Aptech Limited,006.74   APT-H,,
562,338,Human Resource Mgmt,Shashi K.Gupta,Rosy Joshi,658.022 GUP-H,81-272-0589-3,80
563,450,I Want To Be An It Professional,,Vikas publishing House,331.761 004 WAN,81-259-1849-3,125
564,222,Ignited Minds,Apj Abdul Kalam,PENGUIN BOOKS,,978-0-14-302982-3,125
565,224,I'M Ok You'Re Ok,Thomas A Harris,AVON BOOKS,158.HAR-I,0-380-00772-X,219
566,211,Improve Your Idioms And Phrases,J.S. Bright,GOODWILL,418 BRI-I,81-7245-019-2,110
567,397,Indroduction To Design And Analysis Of Algorithms,Anany Levitin,Pearson Education,005.120 28 LEV-I,978-81-317-1837-7,425
568,420,Indroduction To Fuzzy Sets And Fuzzy Logic,M Ganesh,PHI,511.3 GAN-F,978-81-203-2861-7,195
569,206,Industrial Engineering And Management,O P Khanna,Dhanpat Rai & Sons,658.5 KHA-I,,145
570,289,Information Security Intelligence:Cryptograpic Principles & Applications,Thomas Calabrese,Wiley INDIA EDITION,005.8 CAL-I,81-315-0006-3,
571,387,Information Systems An Introduction To Informatics In Organisations,Paul Beynon-Davies,Palgrave,005.133 BEY-I,0-333-96390-3,
572,498,Information Systems Architecture,Stephen D Burd,INDIA EDITION,004.22 BUR-I,978-81-315-0865-7,
573,406,Information Systems For Managers,"Dinesh Verma, Prof.S.Roy",Gullybaba Publishing House,658.403 VER-I,81-89086-68-5,110
574,350,Information Systems For Modern Management 3E,"Robert G.Murdick,Joel E.Ross",Prentice hall of India,658.403 8011 INF;3E,81-203-0397-0,250
575,203,Information Systems Management In Practice 6E,Barbara C.Mcnurlin,Pearson Education,658.403 801 1 MCN-I;6E,81-297-0257-6,325
576,18,Information Technology,,The institute of chartered accountants of india,004 INS -IN,,
577,24,Information Technology Network And Internet,C.T. Bhunia,NEW AGE INTERNATIONAL,004.678 BHU-I,81-224-1662-4,195
578,477,Information Technology Project Management 3E,Jack T Marchewka,Wiley India Pvt Ltd,004.05 mar -I;3E,978-81-265-2318-4,
579,373,"Integration-Ready Architecture And Design(Software Engineering With Xml,Java,.Net,Wireless,Speech And Knowledge Technologies",Jeff Zhuk,Cambridge University Press,004.22 ZHU-I,0-521-70411-1,
580,516,Internet,Johnson Velupadam,H & C PUBLISHING HOUSE,004.678 VEL-I,,10
581,136,Internet & Java Programming,R Krishnamoorthy,New Age International,004.62 KRI-I,81-224-1352-8,225
582,35,Internet & Web Design 2E,Ramesh Bangia,Firewall Media,004.678 BAN-I;2E,81-7008-951-4,150
583,408,Internet And World Wide Web How To Program 4 E,P J Deitel & H M Deitel,Pearson Education,004.678 DEI-I;4E,978-81-317-2522-1,675
584,1094,Internet And World Wide Web How To Program 5 E,"Paul Deitel, Harvey Deitel, Abbey Deitel",Pearson India Eduction Pvt. Ltd.,,978-93-528-6859-9,960/-
585,494,Internet For Everyone,Alexis Leon And Mathews Leon,LEON TECHWORLD,004.678 LEO-I,978-81-820-9218-1,240
586,552,Internetworking Technologies An Engineering Perspective,Rahul Banergee,PHI,004.62 BAN-I,978-81-203-2185-4,175
587,1061,Internetworking with TCP/IP 6E ,Douglas E. Comer,Pearson,,978-93-325-5010-0,
588,1062,Internetworking with TCP/IP 6E ,Douglas E. Comer,Pearson,,978-93-325-5010-0,
589,1063,Internetworking with TCP/IP 6E ,Douglas E. Comer,Pearson,,978-93-325-5010-0,
590,1011,Internetworking With Tcp/Ip Vol. I 3E,Douglas E Comer,PHI,004.62 COM-I;3E,978-81-203-2065-4,350
591,1012,Internetworking With Tcp/Ip Vol. I 4E,Douglas E Comer,PHI,004.62 COM-I;4E,978-93-80931-9-0,500
592,904,Internetworking With Tcp/Ip Vol. I 5E,Douglas E Comer,PHI,004.62 COM-I;5E,978-81-203-2998-0,350
593,905,Internetworking With Tcp/Ip Vol. I 5E,Douglas E Comer,PHI,004.62 COM-I;5E,978-81-203-2998-0,350
594,987,Internetworking With Tcp/Ip Vol. I 5E,Douglas E Comer,PHI,004.62 COM-I;5E,978-81-203-2998-0,350
595,988,Internetworking With Tcp/Ip Vol. I 5E,Douglas E Comer,PHI,004.62 COM-I;5E,978-81-203-2998-0,350
596,989,Internetworking With Tcp/Ip Vol. I 5E,Douglas E Comer,PHI,004.62 COM-I;5E,978-81-203-2998-0,350
597,1042,Internetworking With Tcp/Ip Vol. I 6E,Douglas E Comer,PHI,004.62 COM-I;6E,978-81-203-4867-7,525
598,553,Internetworking With Tcp/Ip Vol.Ii 3E,"Douglas E. Comer, David L. Stevens",PHI,004.62 COM-I;3E,978-81-203-2285-1,660
599,449,Introducing The Theory Of Computation,Wayne Goddard,Jones & Bartlett Publishers,004.015 GOD-I,978-93-80108-25-4,
600,485,Introduction To Algorithms 2Ed,Thomas H . Cormen,Phi,005.120 COR-I ;2ED,978-81-203-2141-0,350
601,545,Introduction To Algorithms 2Ed,"Thomas H. Cormen, Charales E. Leiserson,",Phi,005.120 - 28 COR-I,978-81-203-4007-7,425
602,246,"Introduction To Automata Theory, Languages, And Computation",John E Hopcroft,Narosa Publishing House,004.015 1 HOP-I,81-85015-96-1,
603,558,"Introduction To Automata Theory, Languages, And Computation","John E. Hopcroft, Rajeev Motwani, Jeffry D. Ullman",Narosa Publishing House,004.015 I HOP - I,81-85015-96-1,
604,557,"Introduction To Automata Theory, Languages, And Computation 3E","John E. Hopcroft, Rajeev Motwani, Jeffry D. Ullman",Pearson,004.05 I HOP;3E,978-81-7317-2047-9,
605,1040,Introduction to Computation And Programming Using python,John v Guttag,PHI,,978-81-203-5292-6,695
606,491,Introduction To Computer Graphics And Multimedia 2E,Anirban Mukhopadhyay & Arup Chattopadhyay,Vikas publishing House,006.6 MUK-I;2E,978-81-259-1931-5,400
607,447,Introduction To Computers,Alexis Leon And Mathews Leon,LEON TECHWORLD,004 LEO-I,978-81-8209-234-1,375
608,26,Introduction To Computers & C Programming,S.K.Bajpai & D.S.Yadav,New Age International Publishers,5.133  BAJ-I,81-224-1379-X,175
609,732,Introduction To Computers 4E,Peter Norton,Tata Mc Graw-Hill,004.05 NOR-I;4E,0-07-044743-8,295
610,257,Introduction To Computers 6E,Peter Nortaon,MCGRAW HILL,004 NR-I;6E,978-0-07-059374-9,
611,1093,Introduction to Computing and Problem Solving using Python,E Balagurusamy,Mc Graw Hill Education Pvt. Ltd.,,978-93-5260-258-2,350/-
612,600,Introduction To Data Commpression 3E,Khalid Sayood,MORGAN KAUFMANN PUB,005.746 SAY -D;3E,978-81-312-0624-9,425
613,574,Introduction To Data Mining With Case Studies,G.K Gupta,PHI,005.74 GUP-1,978-81-203-3053-5,325
614,290,Introduction To Data Structures,"Bhagat Singh ,Thomas L Naps",Galgotia Publi Pvt Ltd,005.73 SIN-I,,230
615,307,Introduction To Data Structures,"Bhagat Singh ,Thomas L Naps",Galgotia Publi Pvt Ltd,005.73 SIN-I,,230
616,508,Introduction To Database Management Systems,Atul Kahate,Pearson Education,005.74 KAH-I,978-81-317-0078-5,375
617,141,Introduction To Information Technology,Pelin Aksoy,COURSE TECHNOLOGY CENGAGE LEARNING,004 AKS-I,978-81-315-0591-5,295
618,509,Introduction To Java Programming  7E,Y Daniel Liang,Pearson Education,005.133 DAN-I;7ED,978-81-317-2958-8,699
619,378,Introduction To Object Oriented Programming Through Java,I S R D Group,Mc Graw Hill,005.117 ISRD-I,978-0-07-061684-4,
620,401,Introduction To Prolog,R P Suri,Narosa publi house pvt ltd,005.115 SUR-I,978-81-7319-813-7,
621,478,Introduction To Sql,Reck F .Van Der Lans,Pearson Education,005.758 VAN-I,978-81-317-1355-6,799
622,788,Introduction To The Design & Analysis Of Algorithms 2E,Anany Levitin,Pearson Education,005.120 28 LEV-I,978-81-317-1837-7,499
623,802,Introducton To Languages & The Theory Of Computation 3E,John C Martin,Mc Graw Hill,004.151 1 MAR-I;3E,978-0-07-066048-9,385
624,493,Intrusion Alert An Ethical Hacking Guide,Ankit Fadia And Manu Zacharia,Vikas publishing House,005.8 FAD-I,978-81-259-2651-1,295
625,626,Iphone Sdk Application Development,Jonath Zdziarski,Shoroff pub & Distributors,,81-8404-692-8,500
626,218,Its Not How Smart You Are Its  How You Are Smart,Jeanne Anne Craig,MACMILLAN,,1403-92392-2,150
627,865,J2EE Unleashed,Joseph J Bambara,,005.133 BAM-J,,840
628,866,J2EE Unleashed,Joseph J Bambara,,005.133 BAM-J,,840
629,419,Java  Web Services Architecture,James Mc Govern,Morgan Kaufmann Publishers,005.133 GOV-J,978-81-8147-641-8,795
630,584,Java & Web Technology,"G.S Baluja,G K Baluja",Dhanpat Rai & Co.,005.133 BAL - J,,
631,466,Java For Programmers Contains   200+ Examples,"Paul J, Deitel And Harvey M.",Pearson Publications,005.133 DEI-J,978-81-317-2901-4,725
632,543,Java How To Program,"Paul Deitel, Harvey Deitel",Phi,005.133 DEI- J,978-81-203-3832-6,695
633,789,Java Programming A Practical Approach,C Xavier,Mc Graw Hill,005.133 XAV-J,978-0-07-070209-7,510
634,454,Java Script,Gosselin,India Edition,005.133 GOS-J,978-81-315-0515-1,
635,9,Java2 Black Book 2006 Edition,Steven Holzner Et Al,Dream Tech Publication,005.133  HOL-J,81-7722-655-X,
636,592,Javascript,David Sawyer Mc Farland,Shoroff Pub & Distributors Pvt. Ltd,005.133 DAV - J,10: 81-8404-565-4,450
637,34,Javascript Bible 5E,Danny Goodman & Michael,Wiley Dreamtech India Pvt.Ltd,005 GOO-J:5,81-265-0502-8,529
638,410,Leadership Research Findings Practice And Skills,Andrew J .Dubrin,BIZTANTRA,658 DUB-L,81-7722-765-3,349
639,628,Learning Iphone Programming,Alasdair Allan,Shoroff pub & Distributors,,978-81-8404-971-8,400
640,342,Learning Java,Patrick Niemeyer And Jonathan,Spd Oreilly,005.133  NIE-L,81-7366-232-0,525
641,593,Learning Web Design 3E,Jennifer Niederst Robbins,Shoroff Pub & Distributors Pvt. Ltd,006.7 JEN -L,13:978-81-8404-938-1,450
642,1004,Learning with Python,"Allen Downey , Jeffrey Elkner , Chris Meyers",Dreamtech Press,,978-93-5119-819-7,299
643,711,Let Us C,Yashavant Kanetkar,Bpb Publications,005.133 KAN-L,81-7656-040-5,165
644,83,Let Us C,Yashavant Kanetkar,Bpb Publication,005.133 KAN-L,81-7656-621-7,180
645,747,Let Us C,Yashavant Kanetkar,Bpb Publications,005.133 KAN-L;8,81-833-163-7,198
646,540,Let Us C,Yashavant Kanetkar,Bpb Publication,005.133 KAN - L,81-8333-163-7,248
647,363,Let Us C  2E,Yashavant Kanetkar,Bpb Publications,005.133 KAN-L;2,81-7029-534-3,135
648,312,Let Us C 6 E,Yashavant Kanetkar,Bpb Publications,005.133  KAN-L.C,81-8333-052-5,195
649,311,Let Us C 7 E,Yashavant Kanetkar,Bpb Publication,005.133  KAN-L.C,81-8333-163-7,198
650,561,Let Us C++,Yashavant Kanethkar,Bpb,005.133 KAN-L,81-7656-106-1,248
651,212,Letters From Father  To His Daugter,Jawaharlal Nehru,Puffin Books,,0-67-005816-5,250
652,85,Linear Intagrated Circuit 2E,D Roy Choudhry.Shail B Jain,New Age Internationl,621.319  ROY-L.C;2,81-224-1470-2,200
653,351,Linear Intagrated Circuit 4E,D Roy Choudhry.Shail B Jain,New Age internationl,621.319  CHO-L;4E,81-224-1470-2,295
654,465,Linux Administration Handbook 2 Ed,"Evi Nemeth , Garth Snyder",Pearson Publications,005.4 NEM-L;2E,978-81-317-1323-5,629
655,407,Linux Tcp/Ip Networking For Embedded Systems 2E,Thomas F Herbert,India Edition,005.432 HER-L;2E,978-81-315-0264-8,
656,216,Look Both Ways,Linda Cridlle,PRENTICE-HALL,,81-203-3107-9,195
657,581,Machine Learning With Svm And Other Kernel Methods,"K.P Soman ,R Loganathan,V Ajay",PHI,004.019 SOM-M,978-81-203-3435-9,425
658,145,Management 9E,Stephen P.Robbins,Phi,650 ROB-M;9E,978-81-203-3497-7,425
659,594,Management Information Systems,Dr. Sachin Kadam,Shoroff Pub & Distributors Pvt. Ltd,658.403 SAC -M,13: 978-93-5023-025-1,150
660,1078,Management Information Systems  Text and Cases 5E,Waman S Jawadekar,McGraw Hill Education,,978-1-25-902669-0,
661,80,Management Information Systems 2E,V.S.Bagad,Technical Publication Pune,658 BAG-M;2E,81-8431-162-1,160
662,251,Management Information Systems 8E,T Lucey,Bpb,658 LUC-M;8E,81-7029-999-3,120
663,575,Management Information Systems 9E,"Janme A O'Brien,George M Marakas,Ramesh Behl",Mc Graw Hill,004.65 MAR-M;9E,978-0-07-014494-1,
664,190,Manorama Year Book,Manorama,M M Publications,050 MAN-M,,150
665,37,Mastering C++ Programs,J.B Dixit,Laxmi Publication,005 DIX-M,81-7008-364-8,295
666,51,Mastering Oracle 8I,"Robert G. Freeman,Mark D.Blomberg",BPB PUBLICATIONS,005.7575 FRE-M,81-7656-541-5,
667,299,Mcdba Sql Server 2000 Exam Study Guide,Dave Perkovich,DREAM TECH PUBLICATIONS,005.758 PER-M,81-7722-265-1,449
668,110,Mcqs In Computer Science 2E,Timothy Williams,TATA MCGRAW HILL,004.1 MCQ,0-07-059356-6,225
669,445,Mcqs In Computer Science 2E,Timothy J Williams,Tata McGraw-Hill,004 WIL-M;2ED,0-07-059356-6,225
670,799,Mcqs In Computer Science 4E,Timothy J Williams,Mc Graw Hill,004 WIL-M;4E,978-0-07-107769-9,350
671,676,Micro Controllers And Plc Programming,G Sailendra Kkumar,RADIANT PUBLICATIONS HOUSE,621.39 SAI-M,,78
